id,Confidence
872828466,0.9
839465958,1.0
857077872,1.0
801801567,0.9
855162927,0.9
767099713,0.9
770142853,0.8
836684919,0.9
889988339,0.8
772779852,0.7
715072750,0.9
731435261,0.9
792385187,0.7
810638394,0.7
860946590,0.9
721843655,0.8
871313726,0.9
731012930,0.7
865297859,0.7
804595650,1.0
752596579,0.7
785637891,0.9
843263945,0.7
754149367,0.9
869305753,0.9
754276476,1.0
796317121,0.8
733493217,0.7
754400301,1.0
879858279,0.9
880218894,0.9
850129409,0.8
869608300,1.0
844400975,1.0
870021844,0.8
883947737,0.7
787890742,0.8
809710374,1.0
795969959,0.6
822053239,0.8
783885109,0.9
878532421,0.6
813808083,0.8
883942052,1.0
837030423,0.9
863821901,0.8
823300143,1.0
860116947,0.9
834972267,0.8
793505712,0.9
873942008,0.9
764137984,0.8
766940573,1.0
800757001,0.9
731392999,0.9
733555564,0.8
884034606,0.9
815337116,0.8
813898274,0.9
830014473,1.0
828412700,1.0
844595372,0.9
802321901,0.9
873568438,0.9
750500038,0.9
758515136,0.8
854760326,0.9
883924843,1.0
715181127,1.0
718936400,0.9
792868203,0.8
826500305,0.9
853386843,0.9
713924922,0.7
870068622,0.8
792299548,0.7
850053000,1.0
874390521,0.9
818147738,0.9
892297646,0.8
813768929,1.0
728316083,1.0
803071375,0.9
739708881,0.9
840257642,0.7
870290465,0.9
865384483,0.8
824158110,1.0
844673659,0.9
818845956,0.9
824883616,0.8
891827176,0.7
772734071,0.9
856040903,0.9
825730075,0.8
715208453,0.8
753741043,1.0
824504805,0.8
776400501,0.9
829758318,0.8
726947112,0.3
877333164,0.9
789188547,1.0
800754024,0.8
893949935,0.8
855545361,0.8
796155882,0.9
847671925,0.8
742438511,0.9
848225359,0.9
879059443,1.0
848648271,0.9
724447679,0.7
879064773,0.8
740163448,1.0
836478319,0.9
854407023,1.0
775359643,0.9
832899311,1.0
733493432,0.9
848097115,0.8
839346460,0.8
792956347,0.9
768873198,0.8
724596782,0.9
880103829,0.9
833813817,1.0
715309406,0.9
810131612,1.0
750439035,1.0
855190513,0.8
775058770,1.0
783458005,0.7
722392342,0.9
835398070,1.0
801411375,0.7
801815874,0.8
740690863,0.8
778536560,0.8
805807307,1.0
734679259,0.9
840945200,0.9
866918403,0.6
872624564,1.0
718889841,0.8
835573894,0.9
756754983,0.7
802436242,0.8
754636130,0.9
762613434,0.8
715181242,1.0
779195013,1.0
867987084,0.7
774524130,0.9
784112830,0.9
852656243,0.8
784977773,0.8
765835733,0.8
789862503,0.9
847256345,0.9
741743484,0.9
761451960,0.9
804820694,0.9
876272761,0.9
831766362,0.8
747984102,0.8
721817392,0.9
787973675,0.9
854963219,
867138451,1.0
782895127,0.6
724592431,0.9
744567473,0.9
873272441,0.8
775760999,0.8
716985861,0.8
799557704,0.7
844474920,0.7
877262017,0.9
